292:	test: 0.9299970	best: 0.9471144 (32)	total: 25m 21s	remaining: 17m 54s
293:	test: 0.9300767	best: 0.9471144 (32)	total: 25m 24s	remaining: 17m 48s
294:	test: 0.9301120	best: 0.9471144 (32)	total: 25m 30s	remaining: 17m 43s
295:	test: 0.9301025	best: 0.9471144 (32)	total: 25m 36s	remaining: 17m 39s
296:	test: 0.9301029	best: 0.9471144 (32)	total: 25m 39s	remaining: 17m 32s
297:	test: 0.9299829	best: 0.9471144 (32)	total: 25m 44s	remaining: 17m 26s
298:	test: 0.9299869	best: 0.9471144 (32)	total: 25m 46s	remaining: 17m 19s
299:	test: 0.9299786	best: 0.9471144 (32)	total: 25m 48s	remaining: 17m 12s
300:	test: 0.9300058	best: 0.9471144 (32)	total: 25m 51s	remaining: 17m 5s
301:	test: 0.9300013	best: 0.9471144 (32)	total: 25m 56s	remaining: 17m
302:	test: 0.9301070	best: 0.9471144 (32)	total: 26m	remaining: 16m 54s
303:	test: 0.9301009	best: 0.9471144 (32)	total: 26m 6s	remaining: 16m 50s
304:	test: 0.9301029	best: 0.9471144 (32)	total: 26m 9s	remaining: 16m 43s
305:	test: 0.9300967	best: 0.9471144 (32)	total: 26m 11s	remaining: 16m 36s
306:	test: 0.9300943	best: 0.9471144 (32)	total: 26m 14s	remaining: 16m 29s
307:	test: 0.9300828	best: 0.9471144 (32)	total: 26m 18s	remaining: 16m 24s
308:	test: 0.9300778	best: 0.9471144 (32)	total: 26m 24s	remaining: 16m 19s
309:	test: 0.9300676	best: 0.9471144 (32)	total: 26m 29s	remaining: 16m 13s
310:	test: 0.9300798	best: 0.9471144 (32)	total: 26m 33s	remaining: 16m 8s
