273:	learn: 0.0234153	total: 16m 18s	remaining: 13m 27s
274:	learn: 0.0234036	total: 16m 21s	remaining: 13m 23s
275:	learn: 0.0233866	total: 16m 24s	remaining: 13m 19s
276:	learn: 0.0233782	total: 16m 27s	remaining: 13m 14s
277:	learn: 0.0233723	total: 16m 28s	remaining: 13m 9s
278:	learn: 0.0233577	total: 16m 30s	remaining: 13m 4s
279:	learn: 0.0233435	total: 16m 32s	remaining: 12m 59s
280:	learn: 0.0233297	total: 16m 35s	remaining: 12m 55s
281:	learn: 0.0233137	total: 16m 37s	remaining: 12m 51s
282:	learn: 0.0233077	total: 16m 38s	remaining: 12m 45s
283:	learn: 0.0233006	total: 16m 40s	remaining: 12m 40s
284:	learn: 0.0232867	total: 16m 43s	remaining: 12m 37s
285:	learn: 0.0232824	total: 16m 45s	remaining: 12m 32s
286:	learn: 0.0232752	total: 16m 50s	remaining: 12m 29s
287:	learn: 0.0232677	total: 16m 53s	remaining: 12m 26s
288:	learn: 0.0232596	total: 16m 56s	remaining: 12m 21s
289:	learn: 0.0232524	total: 16m 58s	remaining: 12m 17s
290:	learn: 0.0232436	total: 17m 2s	remaining: 12m 14s
291:	learn: 0.0232361	total: 17m 5s	remaining: 12m 10s
292:	learn: 0.0232232	total: 17m 8s	remaining: 12m 6s
293:	learn: 0.0232143	total: 17m 10s	remaining: 12m 2s
294:	learn: 0.0232072	total: 17m 14s	remaining: 11m 58s
295:	learn: 0.0231975	total: 17m 15s	remaining: 11m 53s
296:	learn: 0.0231852	total: 17m 17s	remaining: 11m 49s
297:	learn: 0.0231758	total: 17m 19s	remaining: 11m 44s
298:	learn: 0.0231673	total: 17m 21s	remaining: 11m 40s
299:	learn: 0.0231435	total: 17m 24s	remaining: 11m 36s
300:	learn: 0.0231327	total: 17m 29s	remaining: 11m 33s
301:	learn: 0.0231240	total: 17m 31s	remaining: 11m 29s
302:	learn: 0.0231192	total: 17m 33s	remaining: 11m 24s
303:	learn: 0.0231134	total: 17m 34s	remaining: 11m 20s
304:	learn: 0.0231017	total: 17m 39s	remaining: 11m 17s
305:	learn: 0.0230936	total: 17m 41s	remaining: 11m 12s
306:	learn: 0.0230775	total: 17m 43s	remaining: 11m 8s
307:	learn: 0.0230719	total: 17m 45s	remaining: 11m 3s
308:	learn: 0.0230641	total: 17m 46s	remaining: 10m 59s
309:	learn: 0.0230540	total: 17m 49s	remaining: 10m 55s
310:	learn: 0.0230466	total: 17m 51s	remaining: 10m 51s
311:	learn: 0.0230359	total: 17m 53s	remaining: 10m 46s
312:	learn: 0.0230276	total: 17m 55s	remaining: 10m 42s
313:	learn: 0.0230212	total: 17m 57s	remaining: 10m 38s
314:	learn: 0.0230127	total: 17m 58s	remaining: 10m 33s
