206:	learn: 7.3442298	test: 8.9746887	best: 8.9744003 (205)	total: 57.1s	remaining: 1m 20s
207:	learn: 7.3386089	test: 8.9746600	best: 8.9744003 (205)	total: 57.4s	remaining: 1m 20s
208:	learn: 7.3325015	test: 8.9744552	best: 8.9744003 (205)	total: 57.7s	remaining: 1m 20s
209:	learn: 7.3275762	test: 8.9747735	best: 8.9744003 (205)	total: 58s	remaining: 1m 20s
210:	learn: 7.3207084	test: 8.9743785	best: 8.9743785 (210)	total: 58.4s	remaining: 1m 19s
211:	learn: 7.3143133	test: 8.9733441	best: 8.9733441 (211)	total: 58.7s	remaining: 1m 19s
212:	learn: 7.3096568	test: 8.9729830	best: 8.9729830 (212)	total: 59s	remaining: 1m 19s
213:	learn: 7.3032387	test: 8.9731883	best: 8.9729830 (212)	total: 59.3s	remaining: 1m 19s
214:	learn: 7.2981160	test: 8.9729833	best: 8.9729830 (212)	total: 59.6s	remaining: 1m 18s
215:	learn: 7.2925026	test: 8.9721615	best: 8.9721615 (215)	total: 59.8s	remaining: 1m 18s
216:	learn: 7.2868908	test: 8.9723894	best: 8.9721615 (215)	total: 1m	remaining: 1m 18s
217:	learn: 7.2815818	test: 8.9717398	best: 8.9717398 (217)	total: 1m	remaining: 1m 18s
218:	learn: 7.2758125	test: 8.9715850	best: 8.9715850 (218)	total: 1m	remaining: 1m 18s
219:	learn: 7.2701737	test: 8.9709676	best: 8.9709676 (219)	total: 1m 1s	remaining: 1m 17s
220:	learn: 7.2647941	test: 8.9703289	best: 8.9703289 (220)	total: 1m 1s	remaining: 1m 17s
221:	learn: 7.2592357	test: 8.9697299	best: 8.9697299 (221)	total: 1m 1s	remaining: 1m 17s
222:	learn: 7.2530262	test: 8.9701756	best: 8.9697299 (221)	total: 1m 2s	remaining: 1m 17s
223:	learn: 7.2467177	test: 8.9701034	best: 8.9697299 (221)	total: 1m 2s	remaining: 1m 16s
224:	learn: 7.2422432	test: 8.9701682	best: 8.9697299 (221)	total: 1m 2s	remaining: 1m 16s
225:	learn: 7.2366085	test: 8.9698479	best: 8.9697299 (221)	total: 1m 3s	remaining: 1m 16s
226:	learn: 7.2312484	test: 8.9703189	best: 8.9697299 (221)	total: 1m 3s	remaining: 1m 16s
227:	learn: 7.2255219	test: 8.9698551	best: 8.9697299 (221)	total: 1m 3s	remaining: 1m 15s
228:	learn: 7.2200762	test: 8.9702162	best: 8.9697299 (221)	total: 1m 3s	remaining: 1m 15s
229:	learn: 7.2146016	test: 8.9697567	best: 8.9697299 (221)	total: 1m 4s	remaining: 1m 15s
230:	learn: 7.2088652	test: 8.9690324	best: 8.9690324 (230)	total: 1m 4s	remaining: 1m 14s
231:	learn: 7.2029814	test: 8.9688000	best: 8.9688000 (231)	total: 1m 4s	remaining: 1m 14s
232:	learn: 7.1970444	test: 8.9673250	best: 8.9673250 (232)	total: 1m 5s	remaining: 1m 14s
233:	learn: 7.1922470	test: 8.9675693	best: 8.9673250 (232)	total: 1m 5s	remaining: 1m 14s
234:	learn: 7.1867190	test: 8.9666680	best: 8.9666680 (234)	total: 1m 5s	remaining: 1m 13s
235:	learn: 7.1814238	test: 8.9662617	best: 8.9662617 (235)	total: 1m 5s	remaining: 1m 13s
236:	learn: 7.1755720	test: 8.9660460	best: 8.9660460 (236)	total: 1m 6s	remaining: 1m 13s
237:	learn: 7.1691076	test: 8.9655935	best: 8.9655935 (237)	total: 1m 6s	remaining: 1m 13s
238:	learn: 7.1637119	test: 8.9644872	best: 8.9644872 (238)	total: 1m 6s	remaining: 1m 12s
239:	learn: 7.1574567	test: 8.9652592	best: 8.9644872 (238)	total: 1m 6s	remaining: 1m 12s
240:	learn: 7.1517291	test: 8.9653002	best: 8.9644872 (238)	total: 1m 7s	remaining: 1m 12s
241:	learn: 7.1462175	test: 8.9652219	best: 8.9644872 (238)	total: 1m 7s	remaining: 1m 12s
242:	learn: 7.1405527	test: 8.9650931	best: 8.9644872 (238)	total: 1m 7s	remaining: 1m 11s
243:	learn: 7.1351862	test: 8.9657186	best: 8.9644872 (238)	total: 1m 8s	remaining: 1m 11s
244:	learn: 7.1298189	test: 8.9656873	best: 8.9644872 (238)	total: 1m 8s	remaining: 1m 11s
245:	learn: 7.1243668	test: 8.9653976	best: 8.9644872 (238)	total: 1m 9s	remaining: 1m 11s
246:	learn: 7.1191816	test: 8.9657746	best: 8.9644872 (238)	total: 1m 9s	remaining: 1m 11s
247:	learn: 7.1133598	test: 8.9661238	best: 8.9644872 (238)	total: 1m 9s	remaining: 1m 10s
248:	learn: 7.1084184	test: 8.9668276	best: 8.9644872 (238)	total: 1m 10s	remaining: 1m 10s
249:	learn: 7.1020518	test: 8.9667379	best: 8.9644872 (238)	total: 1m 10s	remaining: 1m 10s
250:	learn: 7.0968654	test: 8.9664190	best: 8.9644872 (238)	total: 1m 10s	remaining: 1m 10s
251:	learn: 7.0916500	test: 8.9664024	best: 8.9644872 (238)	total: 1m 10s	remaining: 1m 9s
252:	learn: 7.0859862	test: 8.9660270	best: 8.9644872 (238)	total: 1m 11s	remaining: 1m 9s
253:	learn: 7.0798845	test: 8.9657699	best: 8.9644872 (238)	total: 1m 11s	remaining: 1m 9s
254:	learn: 7.0747137	test: 8.9654557	best: 8.9644872 (238)	total: 1m 11s	remaining: 1m 9s
255:	learn: 7.0692269	test: 8.9644850	best: 8.9644850 (255)	total: 1m 12s	remaining: 1m 8s
256:	learn: 7.0641714	test: 8.9645790	best: 8.9644850 (255)	total: 1m 12s	remaining: 1m 8s
257:	learn: 7.0577483	test: 8.9648176	best: 8.9644850 (255)	total: 1m 12s	remaining: 1m 8s
258:	learn: 7.0525828	test: 8.9642417	best: 8.9642417 (258)	total: 1m 12s	remaining: 1m 7s
