337:	learn: 0.4804731	total: 12m 47s	remaining: 6m 7s
338:	learn: 0.4804011	total: 12m 49s	remaining: 6m 5s
339:	learn: 0.4802965	total: 12m 51s	remaining: 6m 3s
340:	learn: 0.4802495	total: 12m 53s	remaining: 6m
341:	learn: 0.4802166	total: 12m 54s	remaining: 5m 57s
342:	learn: 0.4801767	total: 12m 56s	remaining: 5m 55s
343:	learn: 0.4801161	total: 12m 58s	remaining: 5m 52s
344:	learn: 0.4800716	total: 12m 59s	remaining: 5m 50s
345:	learn: 0.4799855	total: 13m 1s	remaining: 5m 48s
346:	learn: 0.4799322	total: 13m 4s	remaining: 5m 45s
347:	learn: 0.4798841	total: 13m 6s	remaining: 5m 43s
348:	learn: 0.4798530	total: 13m 7s	remaining: 5m 40s
349:	learn: 0.4797921	total: 13m 9s	remaining: 5m 38s
350:	learn: 0.4797600	total: 13m 10s	remaining: 5m 35s
351:	learn: 0.4797177	total: 13m 12s	remaining: 5m 33s
352:	learn: 0.4796416	total: 13m 14s	remaining: 5m 30s
353:	learn: 0.4796008	total: 13m 16s	remaining: 5m 28s
354:	learn: 0.4795268	total: 13m 18s	remaining: 5m 26s
355:	learn: 0.4794859	total: 13m 19s	remaining: 5m 23s
356:	learn: 0.4794474	total: 13m 21s	remaining: 5m 20s
357:	learn: 0.4793981	total: 13m 24s	remaining: 5m 18s
358:	learn: 0.4793541	total: 13m 26s	remaining: 5m 16s
359:	learn: 0.4792737	total: 13m 28s	remaining: 5m 14s
360:	learn: 0.4792439	total: 13m 28s	remaining: 5m 11s
361:	learn: 0.4792089	total: 13m 29s	remaining: 5m 8s
362:	learn: 0.4791656	total: 13m 31s	remaining: 5m 6s
363:	learn: 0.4791320	total: 13m 31s	remaining: 5m 3s
364:	learn: 0.4790634	total: 13m 33s	remaining: 5m 1s
365:	learn: 0.4790264	total: 13m 35s	remaining: 4m 58s
366:	learn: 0.4789954	total: 13m 35s	remaining: 4m 55s
367:	learn: 0.4789541	total: 13m 37s	remaining: 4m 53s
368:	learn: 0.4788743	total: 13m 39s	remaining: 4m 50s
369:	learn: 0.4788317	total: 13m 40s	remaining: 4m 48s
370:	learn: 0.4787753	total: 13m 43s	remaining: 4m 46s
371:	learn: 0.4787419	total: 13m 44s	remaining: 4m 43s
372:	learn: 0.4786879	total: 13m 46s	remaining: 4m 41s
373:	learn: 0.4786561	total: 13m 47s	remaining: 4m 38s
374:	learn: 0.4786205	total: 13m 49s	remaining: 4m 36s
375:	learn: 0.4785829	total: 13m 50s	remaining: 4m 33s
376:	learn: 0.4785495	total: 13m 51s	remaining: 4m 31s
377:	learn: 0.4785124	total: 13m 53s	remaining: 4m 28s
378:	learn: 0.4784822	total: 13m 54s	remaining: 4m 26s
379:	learn: 0.4784430	total: 13m 55s	remaining: 4m 23s
380:	learn: 0.4783688	total: 13m 57s	remaining: 4m 21s
381:	learn: 0.4783354	total: 13m 59s	remaining: 4m 19s
382:	learn: 0.4783079	total: 13m 59s	remaining: 4m 16s
383:	learn: 0.4782578	total: 14m 1s	remaining: 4m 14s
384:	learn: 0.4782247	total: 14m 2s	remaining: 4m 11s
385:	learn: 0.4781926	total: 14m 3s	remaining: 4m 8s
386:	learn: 0.4781580	total: 14m 4s	remaining: 4m 6s
387:	learn: 0.4781287	total: 14m 5s	remaining: 4m 4s
388:	learn: 0.4780767	total: 14m 8s	remaining: 4m 2s
389:	learn: 0.4780407	total: 14m 9s	remaining: 3m 59s
390:	learn: 0.4780124	total: 14m 10s	remaining: 3m 57s
391:	learn: 0.4779837	total: 14m 11s	remaining: 3m 54s
392:	learn: 0.4779486	total: 14m 12s	remaining: 3m 52s
393:	learn: 0.4779204	total: 14m 13s	remaining: 3m 49s
394:	learn: 0.4778769	total: 14m 15s	remaining: 3m 47s
395:	learn: 0.4778266	total: 14m 16s	remaining: 3m 45s
396:	learn: 0.4777659	total: 14m 18s	remaining: 3m 42s
397:	learn: 0.4777380	total: 14m 19s	remaining: 3m 40s
398:	learn: 0.4777029	total: 14m 20s	remaining: 3m 37s
399:	learn: 0.4776753	total: 14m 21s	remaining: 3m 35s
400:	learn: 0.4775941	total: 14m 23s	remaining: 3m 33s
401:	learn: 0.4775557	total: 14m 24s	remaining: 3m 30s
402:	learn: 0.4774876	total: 14m 26s	remaining: 3m 28s
403:	learn: 0.4774510	total: 14m 27s	remaining: 3m 26s
404:	learn: 0.4773735	total: 14m 30s	remaining: 3m 24s
405:	learn: 0.4773287	total: 14m 31s	remaining: 3m 21s
406:	learn: 0.4773048	total: 14m 32s	remaining: 3m 19s
407:	learn: 0.4772612	total: 14m 34s	remaining: 3m 17s
408:	learn: 0.4772265	total: 14m 35s	remaining: 3m 14s
409:	learn: 0.4771713	total: 14m 37s	remaining: 3m 12s
410:	learn: 0.4771216	total: 14m 39s	remaining: 3m 10s
411:	learn: 0.4770334	total: 14m 42s	remaining: 3m 8s
412:	learn: 0.4769353	total: 14m 44s	remaining: 3m 6s
413:	learn: 0.4768837	total: 14m 46s	remaining: 3m 4s
414:	learn: 0.4768531	total: 14m 47s	remaining: 3m 1s
415:	learn: 0.4767908	total: 14m 49s	remaining: 2m 59s
416:	learn: 0.4767645	total: 14m 50s	remaining: 2m 57s
417:	learn: 0.4767164	total: 14m 52s	remaining: 2m 55s
418:	learn: 0.4766912	total: 14m 52s	remaining: 2m 52s
419:	learn: 0.4766569	total: 14m 54s	remaining: 2m 50s
420:	learn: 0.4766301	total: 14m 55s	remaining: 2m 48s
421:	learn: 0.4765752	total: 14m 57s	remaining: 2m 45s
422:	learn: 0.4765495	total: 14m 57s	remaining: 2m 43s
423:	learn: 0.4765150	total: 14m 59s	remaining: 2m 41s
424:	learn: 0.4764647	total: 15m 1s	remaining: 2m 39s
425:	learn: 0.4764237	total: 15m 3s	remaining: 2m 36s
