296:	learn: 0.1561376	total: 13m 19s	remaining: 9m 6s
297:	learn: 0.1557144	total: 13m 21s	remaining: 9m 3s
298:	learn: 0.1552413	total: 13m 24s	remaining: 9m
299:	learn: 0.1548084	total: 13m 26s	remaining: 8m 57s
300:	learn: 0.1543750	total: 13m 29s	remaining: 8m 55s
301:	learn: 0.1539298	total: 13m 31s	remaining: 8m 52s
302:	learn: 0.1535256	total: 13m 34s	remaining: 8m 49s
303:	learn: 0.1531250	total: 13m 36s	remaining: 8m 46s
304:	learn: 0.1527286	total: 13m 38s	remaining: 8m 43s
305:	learn: 0.1523057	total: 13m 41s	remaining: 8m 40s
306:	learn: 0.1518870	total: 13m 43s	remaining: 8m 37s
307:	learn: 0.1514500	total: 13m 45s	remaining: 8m 34s
308:	learn: 0.1510177	total: 13m 48s	remaining: 8m 32s
309:	learn: 0.1506415	total: 13m 50s	remaining: 8m 29s
310:	learn: 0.1502054	total: 13m 53s	remaining: 8m 26s
311:	learn: 0.1497993	total: 13m 55s	remaining: 8m 23s
312:	learn: 0.1493650	total: 13m 58s	remaining: 8m 20s
313:	learn: 0.1489815	total: 14m	remaining: 8m 17s
314:	learn: 0.1485508	total: 14m 2s	remaining: 8m 14s
315:	learn: 0.1481454	total: 14m 5s	remaining: 8m 12s
316:	learn: 0.1477489	total: 14m 7s	remaining: 8m 9s
317:	learn: 0.1473371	total: 14m 9s	remaining: 8m 6s
318:	learn: 0.1469347	total: 14m 12s	remaining: 8m 3s
319:	learn: 0.1465125	total: 14m 14s	remaining: 8m
320:	learn: 0.1460921	total: 14m 17s	remaining: 7m 57s
321:	learn: 0.1456718	total: 14m 19s	remaining: 7m 55s
322:	learn: 0.1452603	total: 14m 22s	remaining: 7m 52s
323:	learn: 0.1448449	total: 14m 24s	remaining: 7m 49s
324:	learn: 0.1444417	total: 14m 26s	remaining: 7m 46s
325:	learn: 0.1440215	total: 14m 29s	remaining: 7m 43s
326:	learn: 0.1436130	total: 14m 31s	remaining: 7m 41s
327:	learn: 0.1432015	total: 14m 34s	remaining: 7m 38s
328:	learn: 0.1428040	total: 14m 36s	remaining: 7m 35s
329:	learn: 0.1424009	total: 14m 39s	remaining: 7m 32s
330:	learn: 0.1420202	total: 14m 41s	remaining: 7m 30s
331:	learn: 0.1416182	total: 14m 43s	remaining: 7m 27s
332:	learn: 0.1412354	total: 14m 46s	remaining: 7m 24s
333:	learn: 0.1408422	total: 14m 48s	remaining: 7m 21s
334:	learn: 0.1404608	total: 14m 51s	remaining: 7m 18s
335:	learn: 0.1400922	total: 14m 53s	remaining: 7m 16s
336:	learn: 0.1396842	total: 14m 55s	remaining: 7m 13s
337:	learn: 0.1392986	total: 14m 58s	remaining: 7m 10s
338:	learn: 0.1389216	total: 15m	remaining: 7m 7s
339:	learn: 0.1385276	total: 15m 3s	remaining: 7m 5s
340:	learn: 0.1381478	total: 15m 5s	remaining: 7m 2s
341:	learn: 0.1377601	total: 15m 7s	remaining: 6m 59s
342:	learn: 0.1373674	total: 15m 10s	remaining: 6m 56s
343:	learn: 0.1370179	total: 15m 12s	remaining: 6m 53s
344:	learn: 0.1366468	total: 15m 15s	remaining: 6m 51s
345:	learn: 0.1362839	total: 15m 17s	remaining: 6m 48s
346:	learn: 0.1358991	total: 15m 20s	remaining: 6m 45s
347:	learn: 0.1355583	total: 15m 22s	remaining: 6m 42s
348:	learn: 0.1351987	total: 15m 24s	remaining: 6m 40s
349:	learn: 0.1348328	total: 15m 26s	remaining: 6m 37s
350:	learn: 0.1344940	total: 15m 29s	remaining: 6m 34s
