348:	learn: 0.0230923	total: 20m 5s	remaining: 8m 41s
349:	learn: 0.0230756	total: 20m 7s	remaining: 8m 37s
350:	learn: 0.0230661	total: 20m 9s	remaining: 8m 33s
351:	learn: 0.0230563	total: 20m 10s	remaining: 8m 29s
352:	learn: 0.0230489	total: 20m 12s	remaining: 8m 24s
353:	learn: 0.0230414	total: 20m 13s	remaining: 8m 20s
354:	learn: 0.0230315	total: 20m 14s	remaining: 8m 16s
355:	learn: 0.0230226	total: 20m 16s	remaining: 8m 11s
356:	learn: 0.0230134	total: 20m 17s	remaining: 8m 7s
357:	learn: 0.0230008	total: 20m 20s	remaining: 8m 4s
358:	learn: 0.0229971	total: 20m 21s	remaining: 7m 59s
359:	learn: 0.0229935	total: 20m 24s	remaining: 7m 56s
360:	learn: 0.0229881	total: 20m 28s	remaining: 7m 53s
361:	learn: 0.0229716	total: 20m 30s	remaining: 7m 49s
362:	learn: 0.0229638	total: 20m 32s	remaining: 7m 45s
363:	learn: 0.0229551	total: 20m 34s	remaining: 7m 41s
364:	learn: 0.0229447	total: 20m 38s	remaining: 7m 38s
365:	learn: 0.0229310	total: 20m 41s	remaining: 7m 34s
366:	learn: 0.0229261	total: 20m 43s	remaining: 7m 30s
367:	learn: 0.0229176	total: 20m 46s	remaining: 7m 27s
368:	learn: 0.0229057	total: 20m 48s	remaining: 7m 23s
369:	learn: 0.0228976	total: 20m 50s	remaining: 7m 19s
370:	learn: 0.0228930	total: 20m 52s	remaining: 7m 15s
371:	learn: 0.0228758	total: 20m 54s	remaining: 7m 11s
372:	learn: 0.0228678	total: 20m 56s	remaining: 7m 7s
373:	learn: 0.0228542	total: 20m 58s	remaining: 7m 3s
374:	learn: 0.0228495	total: 20m 59s	remaining: 6m 59s
375:	learn: 0.0228395	total: 21m 2s	remaining: 6m 56s
376:	learn: 0.0228228	total: 21m 3s	remaining: 6m 52s
377:	learn: 0.0228191	total: 21m 5s	remaining: 6m 48s
378:	learn: 0.0228127	total: 21m 6s	remaining: 6m 44s
379:	learn: 0.0228013	total: 21m 12s	remaining: 6m 41s
380:	learn: 0.0227933	total: 21m 13s	remaining: 6m 37s
381:	learn: 0.0227768	total: 21m 16s	remaining: 6m 34s
382:	learn: 0.0227691	total: 21m 18s	remaining: 6m 30s
383:	learn: 0.0227529	total: 21m 19s	remaining: 6m 26s
384:	learn: 0.0227455	total: 21m 21s	remaining: 6m 22s
385:	learn: 0.0227399	total: 21m 24s	remaining: 6m 19s
386:	learn: 0.0227286	total: 21m 25s	remaining: 6m 15s
387:	learn: 0.0227220	total: 21m 29s	remaining: 6m 12s
388:	learn: 0.0227181	total: 21m 30s	remaining: 6m 8s
389:	learn: 0.0227118	total: 21m 31s	remaining: 6m 4s
390:	learn: 0.0227001	total: 21m 33s	remaining: 6m
391:	learn: 0.0226912	total: 21m 34s	remaining: 5m 56s
392:	learn: 0.0226752	total: 21m 36s	remaining: 5m 53s
393:	learn: 0.0226665	total: 21m 38s	remaining: 5m 49s
394:	learn: 0.0226586	total: 21m 39s	remaining: 5m 45s
395:	learn: 0.0226526	total: 21m 40s	remaining: 5m 41s
396:	learn: 0.0226447	total: 21m 43s	remaining: 5m 38s
397:	learn: 0.0226315	total: 21m 45s	remaining: 5m 34s
398:	learn: 0.0226280	total: 21m 46s	remaining: 5m 30s
399:	learn: 0.0226132	total: 21m 50s	remaining: 5m 27s
400:	learn: 0.0226070	total: 21m 52s	remaining: 5m 23s
401:	learn: 0.0226013	total: 21m 54s	remaining: 5m 20s
402:	learn: 0.0225958	total: 21m 55s	remaining: 5m 16s
403:	learn: 0.0225886	total: 21m 56s	remaining: 5m 12s
404:	learn: 0.0225818	total: 21m 57s	remaining: 5m 9s
405:	learn: 0.0225750	total: 22m 2s	remaining: 5m 6s
406:	learn: 0.0225599	total: 22m 4s	remaining: 5m 2s
407:	learn: 0.0225510	total: 22m 5s	remaining: 4m 58s
408:	learn: 0.0225398	total: 22m 8s	remaining: 4m 55s
409:	learn: 0.0225356	total: 22m 9s	remaining: 4m 51s
410:	learn: 0.0225221	total: 22m 11s	remaining: 4m 48s
411:	learn: 0.0225140	total: 22m 14s	remaining: 4m 44s
412:	learn: 0.0225077	total: 22m 15s	remaining: 4m 41s
413:	learn: 0.0225035	total: 22m 18s	remaining: 4m 38s
414:	learn: 0.0224958	total: 22m 19s	remaining: 4m 34s
415:	learn: 0.0224884	total: 22m 21s	remaining: 4m 30s
416:	learn: 0.0224829	total: 22m 22s	remaining: 4m 27s
417:	learn: 0.0224755	total: 22m 23s	remaining: 4m 23s
418:	learn: 0.0224690	total: 22m 25s	remaining: 4m 20s
419:	learn: 0.0224612	total: 22m 27s	remaining: 4m 16s
420:	learn: 0.0224572	total: 22m 30s	remaining: 4m 13s
421:	learn: 0.0224530	total: 22m 33s	remaining: 4m 10s
422:	learn: 0.0224412	total: 22m 36s	remaining: 4m 6s
423:	learn: 0.0224357	total: 22m 38s	remaining: 4m 3s
424:	learn: 0.0224280	total: 22m 39s	remaining: 3m 59s
