434:	learn: 0.0291166	total: 19.3s	remaining: 2.89s
435:	learn: 0.0291114	total: 19.4s	remaining: 2.84s
436:	learn: 0.0291062	total: 19.4s	remaining: 2.8s
437:	learn: 0.0291009	total: 19.5s	remaining: 2.75s
438:	learn: 0.0290952	total: 19.5s	remaining: 2.71s
439:	learn: 0.0290909	total: 19.5s	remaining: 2.66s
440:	learn: 0.0290855	total: 19.6s	remaining: 2.62s
441:	learn: 0.0290812	total: 19.6s	remaining: 2.57s
442:	learn: 0.0290746	total: 19.7s	remaining: 2.53s
443:	learn: 0.0290699	total: 19.7s	remaining: 2.48s
444:	learn: 0.0290652	total: 19.7s	remaining: 2.44s
445:	learn: 0.0290605	total: 19.8s	remaining: 2.39s
446:	learn: 0.0290560	total: 19.8s	remaining: 2.35s
447:	learn: 0.0290516	total: 19.9s	remaining: 2.3s
448:	learn: 0.0290473	total: 19.9s	remaining: 2.26s
449:	learn: 0.0290429	total: 19.9s	remaining: 2.21s
450:	learn: 0.0290377	total: 20s	remaining: 2.17s
451:	learn: 0.0290327	total: 20s	remaining: 2.12s
452:	learn: 0.0290274	total: 20s	remaining: 2.08s
453:	learn: 0.0290227	total: 20.1s	remaining: 2.04s
454:	learn: 0.0290167	total: 20.1s	remaining: 1.99s
