415:	learn: 0.0292404	total: 18.6s	remaining: 3.76s
416:	learn: 0.0292350	total: 18.7s	remaining: 3.72s
417:	learn: 0.0292305	total: 18.7s	remaining: 3.67s
418:	learn: 0.0292257	total: 18.7s	remaining: 3.62s
419:	learn: 0.0292208	total: 18.8s	remaining: 3.58s
420:	learn: 0.0292152	total: 18.8s	remaining: 3.53s
421:	learn: 0.0292097	total: 18.9s	remaining: 3.48s
422:	learn: 0.0292049	total: 18.9s	remaining: 3.44s
423:	learn: 0.0292011	total: 18.9s	remaining: 3.39s
424:	learn: 0.0291965	total: 19s	remaining: 3.35s
425:	learn: 0.0291914	total: 19s	remaining: 3.3s
426:	learn: 0.0291862	total: 19s	remaining: 3.26s
427:	learn: 0.0291799	total: 19.1s	remaining: 3.21s
428:	learn: 0.0291738	total: 19.1s	remaining: 3.17s
429:	learn: 0.0291675	total: 19.2s	remaining: 3.12s
430:	learn: 0.0291632	total: 19.2s	remaining: 3.08s
431:	learn: 0.0291571	total: 19.3s	remaining: 3.03s
432:	learn: 0.0291524	total: 19.3s	remaining: 2.98s
433:	learn: 0.0291480	total: 19.3s	remaining: 2.94s
434:	learn: 0.0291414	total: 19.4s	remaining: 2.9s
435:	learn: 0.0291365	total: 19.4s	remaining: 2.85s
436:	learn: 0.0291328	total: 19.4s	remaining: 2.8s
437:	learn: 0.0291281	total: 19.5s	remaining: 2.76s
438:	learn: 0.0291228	total: 19.5s	remaining: 2.71s
439:	learn: 0.0291187	total: 19.6s	remaining: 2.67s
440:	learn: 0.0291137	total: 19.6s	remaining: 2.62s
441:	learn: 0.0291090	total: 19.6s	remaining: 2.58s
442:	learn: 0.0291054	total: 19.7s	remaining: 2.53s
443:	learn: 0.0291008	total: 19.7s	remaining: 2.49s
444:	learn: 0.0290963	total: 19.8s	remaining: 2.44s
445:	learn: 0.0290929	total: 19.8s	remaining: 2.4s
446:	learn: 0.0290872	total: 19.8s	remaining: 2.35s
447:	learn: 0.0290828	total: 19.9s	remaining: 2.31s
448:	learn: 0.0290788	total: 19.9s	remaining: 2.26s
449:	learn: 0.0290737	total: 20s	remaining: 2.22s
450:	learn: 0.0290685	total: 20s	remaining: 2.17s
451:	learn: 0.0290636	total: 20s	remaining: 2.13s
452:	learn: 0.0290582	total: 20.1s	remaining: 2.08s
453:	learn: 0.0290549	total: 20.1s	remaining: 2.04s
454:	learn: 0.0290510	total: 20.1s	remaining: 1.99s
